zone_id,city_part
9999,Manhattan
27,Queens
201,Brooklyn
55,Brooklyn
29,Brooklyn
150,Brooklyn
154,Brooklyn
108,Brooklyn
2,Queens
117,Queens
210,Brooklyn
123,Brooklyn
21,Brooklyn
86,Queens
22,Brooklyn
11,Brooklyn
30,Queens
149,Brooklyn
14,Brooklyn
67,Brooklyn
155,Brooklyn
178,Brooklyn
165,Brooklyn
26,Brooklyn
91,Brooklyn
132,Queens
39,Brooklyn
89,Brooklyn
227,Brooklyn
133,Brooklyn
71,Brooklyn
228,Brooklyn
203,Queens
76,Brooklyn
85,Brooklyn
222,Brooklyn
72,Brooklyn
111,Brooklyn
124,Brooklyn
257,Brooklyn
190,Brooklyn
188,Brooklyn
35,Brooklyn
219,Queens
77,Brooklyn
181,Brooklyn
216,Queens
62,Brooklyn
195,Brooklyn
61,Brooklyn
106,Brooklyn
218,Queens
139,Queens
177,Brooklyn
180,Brooklyn
10,Queens
40,Brooklyn
189,Brooklyn
63,Brooklyn
205,Queens
25,Manhattan
49,Manhattan
225,Manhattan
37,Manhattan
258,Brooklyn
54,Manhattan
17,Manhattan
197,Queens
52,Manhattan
97,Manhattan
96,Brooklyn
215,Queens
38,Queens
103,Manhattan
103,Manhattan
33,Manhattan
36,Manhattan
65,Manhattan
130,Queens
198,Brooklyn
102,Brooklyn
34,Manhattan
191,Queens
103,Manhattan
66,Manhattan
217,Manhattan
88,Manhattan
12,Manhattan
80,Manhattan
134,Queens
28,Queens
122,Queens
87,Manhattan
13,Manhattan
261,Manhattan
209,Manhattan
256,Manhattan
160,Brooklyn
95,Brooklyn
45,Manhattan
232,Manhattan
231,Manhattan
131,Queens
255,Manhattan
196,Brooklyn
157,Brooklyn
148,Manhattan
93,Queens
144,Manhattan
135,Queens
121,Queens
226,Manhattan
112,Manhattan
211,Manhattan
4,Manhattan
79,Manhattan
125,Manhattan
98,Queens
19,Queens
114,Manhattan
175,Queens
113,Manhattan
224,Manhattan
101,Queens
158,Manhattan
249,Manhattan
260,Queens
82,Brooklyn
107,Manhattan
83,Brooklyn
56,Queens
234,Manhattan
137,Manhattan
90,Manhattan
192,Queens
145,Manhattan
9,Queens
64,Queens
68,Manhattan
246,Manhattan
170,Manhattan
233,Manhattan
16,Queens
164,Manhattan
186,Manhattan
173,Queens
73,Queens
129,Queens
92,Queens
146,Manhattan
56,Queens
100,Manhattan
202,Manhattan
162,Manhattan
229,Manhattan
7,Manhattan
161,Manhattan
193,Manhattan
48,Manhattan
230,Manhattan
253,Queens
70,Queens
140,Manhattan
171,Queens
50,Manhattan
141,Manhattan
207,Queens
163,Manhattan
237,Manhattan
43,Manhattan
179,Manhattan
138,Queens
53,Queens
223,Queens
142,Manhattan
143,Manhattan
262,Manhattan
263,Manhattan
236,Manhattan
15,Queens
8,Manhattan
252,Queens
239,Manhattan
194,Manhattan
75,Manhattan
238,Manhattan
199,Queens
74,Manhattan
151,Manhattan
168,Manhattan
41,Manhattan
24,Manhattan
126,Bronx
166,Manhattan
213,Bronx
208,Bronx
42,Manhattan
147,Bronx
152,Manhattan
159,Manhattan
247,Manhattan
69,Manhattan
116,Manhattan
167,Bronx
250,Bronx
60,Bronx
212,Bronx
119,Manhattan
248,Bronx
47,Bronx
244,Manhattan
120,Manhattan
182,Bronx
59,Bronx
58,Bronx
46,Bronx
78,Bronx
242,Bronx
184,Bronx
31,Bronx
169,Bronx
183,Bronx
235,Manhattan
243,Manhattan
185,Bronx
20,Bronx
94,Bronx
127,Manhattan
32,Bronx
3,Bronx
136,Bronx
18,Bronx
51,Bronx
81,Bronx
241,Bronx
128,Manhattan
174,Bronx
254,Bronx
153,Manhattan
220,Bronx
240,Bronx
200,Bronx
259,Bronx
